stock_name,stock_code,preferred_theme,categories,subthemes,keywords
엔케이,085310,조선/기자재 테마,건설/인프라 | 자동차 | 정부정책 | 조선/해운,"강관/가스관 | 수소차/수소충전 | 신공항(가덕도, 대구 등) | 조선기자재 | 조선","수소차/수소충전 | 조선 | 조선기자재 | 강관/가스관 | 신공항(가덕도, 대구 등)"
엔켐,348370,전력 / 에너지,국제 | 에너지 | 정부정책 | 이차전지,북미공장 | ESS(전력저장장치) | 새만금 | 전해질(전해액) | LFP배터리(리튬인산철),북미공장 | LFP배터리(리튬인산철) | ESS(전력저장장치) | 전해질(전해액) | 새만금
엔텔스,069410,IT / 통신,빅테크 | 정치 | 통신,엔비디아 | 한동훈 | 5G/6G,한동훈 | 엔비디아 | 5G/6G
엔투텍,227950,반도체 업황/테마 부각,반도체 | 원자재,반도체 장비 | 리튬,반도체 장비 | 리튬
엔피,291230,코인 / 가상자산,IP/엔터 | 가상화폐/가상현실,SNS/광고(틱톡 등) | 메타버스 | VR/AR/XR,VR/AR/XR | SNS/광고(틱톡 등) | 메타버스
엔피케이,048830,건설/인프라 테마,건설/인프라,도로,도로
엘디티,096870,개별주,환경/재난,화재/산불,화재/산불
엘브이엠씨홀딩스,900140,개별주,기타,지주사,지주사
엘앤씨바이오,290650,화장품 / 중국,화장품/미용,화장품 | 피부/미용기기,화장품 | 피부/미용기기
엘앤에프,066970,전력 / 에너지,AI/데이터센터/로봇 | 빅테크 | 에너지 | 이차전지,로봇 | 테슬라 | ESS(전력저장장치) | LFP배터리(리튬인산철),테슬라 | LFP배터리(리튬인산철) | ESS(전력저장장치) | 로봇
엘엠에스,073110,개별주,신소재,초전도체,초전도체
엘오티베큠,083310,반도체 업황/테마 부각,반도체,반도체 장비,반도체 장비
엘컴텍,037950,원자재 테마,원자재,자원개발 | 금,자원개발 | 금
엘케이켐,489500,반도체 업황/테마 부각,기타 | 반도체 | 에너지,2025년 1분기 신규상장 | 반도체 소재/부품 | 페로브스카이트,반도체 소재/부품 | 2025년 1분기 신규상장 | 페로브스카이트
엘티씨,170920,반도체 업황/테마 부각,반도체 | 에너지 | 자동차,반도체 장비 | 반도체 소재/부품 | 고체산화물 연료전지(SOFC) | 수소차/수소충전,반도체 소재/부품
엠게임,058630,IP / 엔터,IP/엔터 | 가상화폐/가상현실,게임 | NFT(대체불가능토큰),NFT(대체불가능토큰) | 게임
엠디바이스,226590,반도체 업황/테마 부각,AI/데이터센터/로봇 | 기타 | 반도체 | 빅테크,데이터센터/클라우드 | SSD | 2025년 1분기 신규상장 | 반도체 소재/부품 | 반도체 설계 | 화웨이,반도체 소재/부품 | 데이터센터/클라우드 | 2025년 1분기 신규상장 | 반도체 설계 | 화웨이 | SSD
엠로,058970,로봇 테마 부각,AI/데이터센터/로봇,데이터센터/클라우드 | AI(인공지능),데이터센터/클라우드 | AI(인공지능)
엠씨넥스,097520,우주 / 항공,IT/신기술 | 모바일 | 우주/항공 | 자동차,카메라모듈/부품 | 바이오인식(생체인식) | 갤럭시 부품 | UAM/드론 | 자율주행 | 스마트카(애플카 등),자율주행 | 갤럭시 부품 | UAM/드론 | 스마트카(애플카 등) | 카메라모듈/부품 | 바이오인식(생체인식)
엠아이큐브솔루션,373170,로봇 테마 부각,AI/데이터센터/로봇,스마트팩토리,스마트팩토리
엠아이텍,179290,BIO / 의료AI,바이오/의료AI | 생활,인공장기 | 반려동물,반려동물 | 인공장기
엠앤씨솔루션,484870,방산,기계/방산,방산,방산
엠에스씨,009780,음식료,음식료,설탕(설탕 대체) | 라면,설탕(설탕 대체) | 라면
엠에스오토텍,123040,자율주행/모빌리티 테마,기타 | 빅테크 | 자동차,지주사 | 테슬라 | 자동차부품,지주사 | 테슬라 | 자동차부품
